,yPos,rStart,bStart,gStart,rRank,bRank,gRank,rEnd,bEnd,gEnd
0,0,116.0,101.0,102.0,509.5,517.5,524.0,86.50266844563042,87.86357571714476,88.96931287525017
1,1,116.0,101.0,102.0,509.5,517.5,524.0,86.50266844563042,87.86357571714476,88.96931287525017
2,2,116.0,101.0,102.0,509.5,517.5,524.0,86.50266844563042,87.86357571714476,88.96931287525017
3,3,116.0,101.0,102.0,509.5,517.5,524.0,86.50266844563042,87.86357571714476,88.96931287525017
4,4,117.0,102.0,103.0,515.0,528.5,536.0,87.43829219479653,89.73482321547698,91.01067378252168
5,5,117.0,102.0,103.0,515.0,528.5,536.0,87.43829219479653,89.73482321547698,91.01067378252168
6,6,117.0,102.0,103.0,515.0,528.5,536.0,87.43829219479653,89.73482321547698,91.01067378252168
7,7,117.0,102.0,103.0,515.0,528.5,536.0,87.43829219479653,89.73482321547698,91.01067378252168
8,8,118.0,103.0,104.0,518.5,542.0,542.0,88.03368912608406,92.03135423615744,92.03135423615744
9,9,119.0,104.0,105.0,522.0,557.0,544.5,88.62908605737158,94.58305537024683,92.45663775850566
10,10,120.0,105.0,106.0,528.5,569.5,549.5,89.73482321547698,96.70947298198799,93.30720480320214
11,11,121.0,106.0,107.0,536.5,583.5,557.0,91.09573048699133,99.09106070713808,94.58305537024683
12,12,121.0,106.0,107.0,536.5,583.5,557.0,91.09573048699133,99.09106070713808,94.58305537024683
13,13,121.0,106.0,107.0,536.5,583.5,557.0,91.09573048699133,99.09106070713808,94.58305537024683
14,14,120.0,105.0,106.0,528.5,569.5,549.5,89.73482321547698,96.70947298198799,93.30720480320214
15,15,120.0,105.0,106.0,528.5,569.5,549.5,89.73482321547698,96.70947298198799,93.30720480320214
16,16,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
17,17,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
18,18,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
19,19,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
20,20,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
21,21,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
22,22,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
23,23,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
24,24,123.0,104.0,103.0,557.0,557.0,536.0,94.58305537024683,94.58305537024683,91.01067378252168
25,25,123.0,104.0,103.0,557.0,557.0,536.0,94.58305537024683,94.58305537024683,91.01067378252168
26,26,123.0,104.0,103.0,557.0,557.0,536.0,94.58305537024683,94.58305537024683,91.01067378252168
27,27,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
28,28,122.0,103.0,102.0,547.5,542.0,524.0,92.96697798532355,92.03135423615744,88.96931287525017
29,29,121.0,102.0,101.0,536.5,528.5,515.0,91.09573048699133,89.73482321547698,87.43829219479653
30,30,121.0,102.0,101.0,536.5,528.5,515.0,91.09573048699133,89.73482321547698,87.43829219479653
31,31,120.0,101.0,100.0,528.5,517.5,511.5,89.73482321547698,87.86357571714476,86.842895263509
32,32,119.0,97.0,101.0,522.0,506.5,515.0,88.62908605737158,85.99232821881255,87.43829219479653
33,33,118.0,96.0,100.0,518.5,501.5,511.5,88.03368912608406,85.14176117411607,86.842895263509
34,34,119.0,96.0,100.0,522.0,501.5,511.5,88.62908605737158,85.14176117411607,86.842895263509
35,35,120.0,96.0,99.0,528.5,501.5,508.0,89.73482321547698,85.14176117411607,86.24749833222148
36,36,122.0,96.0,98.0,547.5,501.5,506.0,92.96697798532355,85.14176117411607,85.9072715143429
